               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  80,            0.024423,           0.0062535,          0.00094246,             0.96519,             0.97352,             0.98439,             0.67649,            0.022805,           0.0057879,          0.00044206,            0.002179,            0.002179,            0.002179
                  81,             0.02434,           0.0065551,          0.00073851,             0.96854,             0.97812,             0.98495,             0.67928,            0.022068,           0.0056146,          0.00037738,             0.00208,             0.00208,             0.00208
                  82,            0.024619,           0.0062885,           0.0006976,             0.96097,             0.98281,             0.98502,             0.69319,            0.022048,           0.0056878,          0.00038038,            0.001981,            0.001981,            0.001981
                  83,            0.024338,           0.0063434,          0.00066139,             0.96582,             0.98096,             0.98631,             0.68392,            0.022511,           0.0056453,          0.00028089,            0.001882,            0.001882,            0.001882
                  84,            0.024476,            0.006222,          0.00066828,             0.96467,             0.97362,             0.98691,             0.68365,            0.022849,            0.005839,          0.00027499,            0.001783,            0.001783,            0.001783
                  85,            0.024189,            0.006377,           0.0005831,             0.96293,             0.96854,             0.98558,             0.68032,            0.022799,           0.0058385,          0.00027386,            0.001684,            0.001684,            0.001684
                  86,             0.02405,           0.0063742,          0.00060017,             0.96761,             0.97112,             0.98494,              0.6957,            0.022209,           0.0056663,          0.00025527,            0.001585,            0.001585,            0.001585
                  87,             0.02377,           0.0063115,          0.00068624,             0.96399,             0.97556,              0.9863,             0.70091,            0.022075,           0.0055935,          0.00024308,            0.001486,            0.001486,            0.001486
                  88,            0.024036,           0.0060885,          0.00053739,             0.96484,             0.98093,             0.98577,              0.6978,             0.02182,           0.0055792,          0.00024257,            0.001387,            0.001387,            0.001387
                  89,            0.023758,           0.0062309,          0.00059129,             0.96513,             0.97538,             0.98666,               0.672,            0.022169,           0.0055681,          0.00023663,            0.001288,            0.001288,            0.001288
                  90,             0.02339,           0.0062984,           0.0007198,             0.96698,             0.97932,              0.9856,             0.70459,            0.021885,           0.0055671,          0.00026564,            0.001189,            0.001189,            0.001189
                  91,            0.023399,           0.0063116,          0.00084576,             0.96502,             0.97856,              0.9854,             0.67485,            0.021968,           0.0055459,          0.00025367,             0.00109,             0.00109,             0.00109
                  92,            0.023526,           0.0061502,          0.00095918,             0.96576,             0.97752,             0.98658,             0.69309,            0.021622,           0.0055252,          0.00030632,            0.000991,            0.000991,            0.000991
                  93,            0.023081,           0.0061192,          0.00051021,             0.96748,             0.97858,             0.98725,             0.70614,            0.021372,            0.005517,          0.00026333,            0.000892,            0.000892,            0.000892
                  94,             0.02301,           0.0061433,          0.00057704,             0.96553,             0.98044,             0.98677,             0.70399,            0.021561,           0.0055237,          0.00021223,            0.000793,            0.000793,            0.000793
                  95,            0.022753,           0.0061375,          0.00071606,             0.96511,             0.97937,              0.9848,             0.69575,            0.021583,           0.0055372,          0.00021941,            0.000694,            0.000694,            0.000694
                  96,            0.022757,           0.0061781,          0.00063382,             0.96815,             0.97555,             0.98626,             0.70648,            0.021676,           0.0055418,          0.00022883,            0.000595,            0.000595,            0.000595
                  97,            0.022359,           0.0062064,          0.00071816,             0.96265,             0.97947,               0.988,             0.70478,            0.021349,           0.0055055,          0.00021428,            0.000496,            0.000496,            0.000496
                  98,            0.022454,           0.0061727,          0.00058609,             0.96592,             0.97962,             0.98709,             0.70143,            0.021551,           0.0055095,          0.00020982,            0.000397,            0.000397,            0.000397
                  99,            0.022337,           0.0059555,          0.00074991,             0.96836,             0.97748,             0.98779,             0.70564,            0.021483,           0.0055331,          0.00020243,            0.000298,            0.000298,            0.000298
